AA, 84, 212
AB, 168, 116
AC, 195, 339
AD, 110, 86
AE, 303, 244
AF, 228, 338
AG, 151, 295
AH, 115, 49
AI, 161, 98
AJ, 60, 197
AK, 40, 55
AL, 55, 322
AM, 148, 82
AN, 86, 349
AO, 145, 295
AP, 243, 281
AQ, 91, 343
AR, 280, 50
AS, 149, 129
AT, 174, 119
AU, 170, 44
AV, 296, 148
AW, 152, 160
AX, 115, 251
AY, 266, 281
AZ, 269, 285
BA, 109, 242
BB, 136, 241
BC, 236, 249
BD, 338, 245
BE, 71, 101
BF, 254, 327
BG, 208, 231
BH, 289, 184
BI, 282, 158
BJ, 352, 51
BK, 326, 230
BL, 88, 240
BM, 292, 342
BN, 352, 189
BO, 231, 141
BP, 280, 350
BQ, 296, 185
BR, 226, 252
BS, 172, 235
BT, 137, 161
BU, 207, 90
BV, 101, 133
BW, 156, 234
BX, 241, 185
